Nodes: 25
Side: 5
C0 [0, 1, 2, 3, 4, 5, 10, 15, 20]
C1 [0, 1, 2, 3, 4, 6, 11, 16, 21]
C2 [0, 1, 2, 3, 4, 7, 12, 17, 22]
C3 [0, 1, 2, 3, 4, 8, 13, 18, 23]
C4 [0, 1, 2, 3, 4, 9, 14, 19, 24]
C5 [5, 6, 7, 8, 9, 0, 10, 15, 20]
C6 [5, 6, 7, 8, 9, 1, 11, 16, 21]
C7 [5, 6, 7, 8, 9, 2, 12, 17, 22]
C8 [5, 6, 7, 8, 9, 3, 13, 18, 23]
C9 [5, 6, 7, 8, 9, 4, 14, 19, 24]
C10 [10, 11, 12, 13, 14, 0, 5, 15, 20]
C11 [10, 11, 12, 13, 14, 1, 6, 16, 21]
C12 [10, 11, 12, 13, 14, 2, 7, 17, 22]
C13 [10, 11, 12, 13, 14, 3, 8, 18, 23]
C14 [10, 11, 12, 13, 14, 4, 9, 19, 24]
C15 [15, 16, 17, 18, 19, 0, 5, 10, 20]
C16 [15, 16, 17, 18, 19, 1, 6, 11, 21]
C17 [15, 16, 17, 18, 19, 2, 7, 12, 22]
C18 [15, 16, 17, 18, 19, 3, 8, 13, 23]
C19 [15, 16, 17, 18, 19, 4, 9, 14, 24]
C20 [20, 21, 22, 23, 24, 0, 5, 10, 15]
C21 [20, 21, 22, 23, 24, 1, 6, 11, 16]
C22 [20, 21, 22, 23, 24, 2, 7, 12, 17]
C23 [20, 21, 22, 23, 24, 3, 8, 13, 18]
C24 [20, 21, 22, 23, 24, 4, 9, 14, 19]
